2023-03-30 23:45:53,075 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37446), raddr=('127.0.0.1', 7777)>,), {}. Вызов из модуля common.utils
2023-03-30 23:45:53,077 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37452), raddr=('127.0.0.1', 7777)>,), {}. Вызов из модуля common.utils
2023-03-30 23:45:54,577 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37446), raddr=('127.0.0.1', 7777)>,), {}. Вызов из модуля common.utils
2023-03-30 23:45:54,579 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37452), raddr=('127.0.0.1', 7777)>,), {}. Вызов из модуля common.utils
2023-03-30 23:45:56,079 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37446), raddr=('127.0.0.1', 7777)>,), {}. Вызов из модуля common.utils
2023-03-30 23:45:56,080 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37452), raddr=('127.0.0.1', 7777)>,), {}. Вызов из модуля common.utils
2023-03-30 23:45:57,580 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37446), raddr=('127.0.0.1', 7777)>,), {}. Вызов из модуля common.utils
2023-03-30 23:45:57,582 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37452), raddr=('127.0.0.1', 7777)>,), {}. Вызов из модуля common.utils
2023-03-30 23:45:59,082 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37446), raddr=('127.0.0.1', 7777)>,), {}. Вызов из модуля common.utils
2023-03-30 23:45:59,083 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37452), raddr=('127.0.0.1', 7777)>,), {}. Вызов из модуля common.utils
2023-03-30 23:46:00,583 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37446), raddr=('127.0.0.1', 7777)>,), {}. Вызов из модуля common.utils
2023-03-30 23:46:00,585 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37452), raddr=('127.0.0.1', 7777)>,), {}. Вызов из модуля common.utils
2023-03-30 23:46:02,085 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37446), raddr=('127.0.0.1', 7777)>,), {}. Вызов из модуля common.utils
2023-03-30 23:46:02,087 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37452), raddr=('127.0.0.1', 7777)>,), {}. Вызов из модуля common.utils
2023-03-30 23:46:03,587 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37446), raddr=('127.0.0.1', 7777)>,), {}. Вызов из модуля common.utils
2023-03-30 23:46:03,588 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37452), raddr=('127.0.0.1', 7777)>,), {}. Вызов из модуля common.utils
2023-03-30 23:46:05,089 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37446), raddr=('127.0.0.1', 7777)>,), {}. Вызов из модуля common.utils
2023-03-30 23:46:05,090 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37452), raddr=('127.0.0.1', 7777)>,), {}. Вызов из модуля common.utils
2023-03-30 23:46:06,590 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37446), raddr=('127.0.0.1', 7777)>,), {}. Вызов из модуля common.utils
2023-03-30 23:46:06,591 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37452), raddr=('127.0.0.1', 7777)>,), {}. Вызов из модуля common.utils
2023-03-30 23:46:08,092 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37446), raddr=('127.0.0.1', 7777)>,), {}. Вызов из модуля common.utils
2023-03-30 23:46:08,092 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37452), raddr=('127.0.0.1', 7777)>,), {}. Вызов из модуля common.utils
2023-03-30 23:46:08,149 DEBUG      transport.py Создание контакта test2
2023-03-30 23:46:08,593 DEBUG      decor.py Была вызвана функция send_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37452), raddr=('127.0.0.1', 7777)>, {'action': 'add', 'time': 1680205568.1492038, 'user': 'test1', 'account_name': 'test2'}), {}. Вызов из модуля common.utils
2023-03-30 23:46:08,593 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37452), raddr=('127.0.0.1', 7777)>,), {}. Вызов из модуля common.utils
2023-03-30 23:46:09,139 DEBUG      transport.py Разбор сообщения от сервера: {'response': 200}
2023-03-30 23:46:09,196 INFO       main_window.py Успешно добавлен контакт <PyQt5.QtGui.QStandardItem object at 0x7f22ae117130>
2023-03-30 23:46:09,594 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37446), raddr=('127.0.0.1', 7777)>,), {}. Вызов из модуля common.utils
2023-03-30 23:46:09,594 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37452), raddr=('127.0.0.1', 7777)>,), {}. Вызов из модуля common.utils
2023-03-30 23:46:11,095 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37446), raddr=('127.0.0.1', 7777)>,), {}. Вызов из модуля common.utils
2023-03-30 23:46:11,095 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37452), raddr=('127.0.0.1', 7777)>,), {}. Вызов из модуля common.utils
2023-03-30 23:46:12,597 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37452), raddr=('127.0.0.1', 7777)>,), {}. Вызов из модуля common.utils
2023-03-30 23:46:12,597 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37446), raddr=('127.0.0.1', 7777)>,), {}. Вызов из модуля common.utils
2023-03-30 23:46:14,099 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37446), raddr=('127.0.0.1', 7777)>,), {}. Вызов из модуля common.utils
2023-03-30 23:46:14,099 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37452), raddr=('127.0.0.1', 7777)>,), {}. Вызов из модуля common.utils
2023-03-30 23:46:15,600 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37452), raddr=('127.0.0.1', 7777)>,), {}. Вызов из модуля common.utils
2023-03-30 23:46:15,600 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37446), raddr=('127.0.0.1', 7777)>,), {}. Вызов из модуля common.utils
