2023-03-18 19:47:31,159 DEBUG      decor.py Была вызвана функция send_message c параметрами (<socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 52360), raddr=('127.0.0.1', 7772)>, {'action': 'presence', 'time': 1679154451.1593244, 'user': {'account_name': 'test1'}}), {}. Вызов из модуля utils
2023-03-18 19:47:31,666 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 52360), raddr=('127.0.0.1', 7772)>,), {}. Вызов из модуля utils
2023-03-18 19:47:31,666 DEBUG      decor.py Была вызвана функция process_server_answer c параметрами ({'response': 200},), {}. Вызов из модуля __main__
2023-03-18 19:47:31,667 DEBUG      client.py Разбор сообщения от сервера: {'response': 200}
2023-03-18 19:47:32,134 INFO       client.py Принят ответ от сервера 200 : OK
2023-03-18 19:47:36,191 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 52360), raddr=('127.0.0.1', 7772)>,), {}. Вызов из модуля utils
2023-03-18 19:47:59,957 DEBUG      client.py Сформирован словарь сообщения: {'action': 'message', 'from': 'test1', 'to': 'test1', 'time': 1679154479.957498, 'mess_text': 'hello!'}
2023-03-18 19:47:59,957 DEBUG      decor.py Была вызвана функция send_message c параметрами (<socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 52360), raddr=('127.0.0.1', 7772)>, {'action': 'message', 'from': 'test1', 'to': 'test1', 'time': 1679154479.957498, 'mess_text': 'hello!'}), {}. Вызов из модуля utils
2023-03-18 19:47:59,958 INFO       client.py Отправлено сообщение для пользователя test1
2023-03-18 19:48:45,767 DEBUG      decor.py Была вызвана функция arg_parser c параметрами (), {}. Вызов из модуля __main__
2023-03-18 19:48:55,385 INFO       client.py Запущен клиент с парамертами: адрес сервера: 127.0.0.1, порт: 7772, режим работы: test1
2023-03-18 19:48:57,394 DEBUG      decor.py Была вызвана функция create_presence c параметрами ('test1',), {}. Вызов из модуля __main__
2023-03-18 19:48:57,395 DEBUG      client.py Сформировано presence сообщение для пользователя test1
2023-03-18 19:48:57,395 DEBUG      decor.py Была вызвана функция send_message c параметрами (<socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 35684), raddr=('127.0.0.1', 7772)>, {'action': 'presence', 'time': 1679154537.3951583, 'user': {'account_name': 'test1'}}), {}. Вызов из модуля utils
2023-03-18 19:48:57,781 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 35684), raddr=('127.0.0.1', 7772)>,), {}. Вызов из модуля utils
2023-03-18 19:48:57,782 DEBUG      decor.py Была вызвана функция process_server_answer c параметрами ({'response': 200},), {}. Вызов из модуля __main__
2023-03-18 19:48:57,782 DEBUG      client.py Разбор сообщения от сервера: {'response': 200}
2023-03-18 19:48:58,188 INFO       client.py Принят ответ от сервера 200 : OK
2023-03-18 19:49:00,329 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 35684), raddr=('127.0.0.1', 7772)>,), {}. Вызов из модуля utils
2023-03-18 19:49:02,556 DEBUG      client.py Запущены процессы
2023-03-18 19:50:49,024 DEBUG      decor.py Была вызвана функция arg_parser c параметрами (), {}. Вызов из модуля __main__
2023-03-18 19:50:52,537 INFO       client.py Запущен клиент с парамертами: адрес сервера: 127.0.0.1, порт: 7772, режим работы: www
