2023-03-30 23:46:24,331 DEBUG      decor.py Была вызвана функция send_message c параметрами (<socket.socket fd=20, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 37452)>, {'response': 200}), {}. Вызов из модуля common.utils
2023-03-30 23:46:24,332 DEBUG      decor.py Была вызвана функция send_message c параметрами (<socket.socket fd=21, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 37446)>, {'action': 'message', 'from': 'test1', 'to': 'test2', 'time': 1680205583.7270381, 'mess_text': 'Привет!'}), {}. Вызов из модуля common.utils
2023-03-30 23:46:24,332 INFO       server.py Отправлено сообщение пользователю test2 от пользователя test1.
2023-03-30 23:46:27,335 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=21, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 37446)>,), {}. Вызов из модуля common.utils
2023-03-30 23:46:27,335 DEBUG      server.py Разбор сообщения от клиента : {'action': 'add', 'time': 1680205587.1172285, 'user': 'test2', 'account_name': 'test1'}
2023-03-30 23:46:27,387 DEBUG      decor.py Была вызвана функция send_message c параметрами (<socket.socket fd=21, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 37446)>, {'response': 200}), {}. Вызов из модуля common.utils
2023-03-30 23:46:57,417 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=21, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 37446)>,), {}. Вызов из модуля common.utils
2023-03-30 23:46:57,418 DEBUG      server.py Разбор сообщения от клиента : {'action': 'get_users', 'time': 1680205617.29725, 'account_name': 'test2'}
2023-03-30 23:46:57,419 DEBUG      decor.py Была вызвана функция send_message c параметрами (<socket.socket fd=21, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 37446)>, {'response': 202, 'data_list': ['гыук', 'test1', 'test2', 'test3', 'test4']}), {}. Вызов из модуля common.utils
2023-03-30 23:46:58,420 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=21, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 37446)>,), {}. Вызов из модуля common.utils
2023-03-30 23:46:58,420 DEBUG      server.py Разбор сообщения от клиента : {'action': 'get_users', 'time': 1680205617.7711842, 'account_name': 'test2'}
2023-03-30 23:46:58,421 DEBUG      decor.py Была вызвана функция send_message c параметрами (<socket.socket fd=21, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 37446)>, {'response': 202, 'data_list': ['гыук', 'test1', 'test2', 'test3', 'test4']}), {}. Вызов из модуля common.utils
2023-03-30 23:47:04,427 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=21, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 37446)>,), {}. Вызов из модуля common.utils
2023-03-30 23:47:04,427 DEBUG      server.py Разбор сообщения от клиента : {'action': 'exit', 'time': 1680205623.8769, 'account_name': 'test2'}
2023-03-30 23:47:04,496 INFO       server.py Клиент test2 корректно отключился от сервера.
2023-03-30 23:47:04,997 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=20, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 37452)>,), {}. Вызов из модуля common.utils
2023-03-30 23:47:04,997 DEBUG      server.py Разбор сообщения от клиента : {'action': 'exit', 'time': 1680205624.8992271, 'account_name': 'test1'}
2023-03-30 23:47:05,044 INFO       server.py Клиент test1 корректно отключился от сервера.
